GateV	--
-6.59999990463257	1.01695905030397E-8
-6.69999980926514	7.60709717440022E-9
-6.80000019073486	1.19713181589987E-8
-6.90000009536743	1.87538393703335E-8
-7	2.09467181377931E-8
-7.09999990463257	2.2588602988094E-8
-7.19999980926514	2.32006431843956E-8
-7.30000019073486	2.49764031678978E-8
-7.40000009536743	3.8898658516473E-8
-7.5	4.21340544676241E-8
-7.59999990463257	4.2361818941572E-8
-7.69999980926514	4.56384441349655E-8
-7.80000019073486	4.81875517266417E-8
-7.90000009536743	5.25443475396514E-8
-8	5.55534036550398E-8
-8.10000038146973	6.0019750947049E-8
-8.19999980926514	6.19195645867876E-8
-8.30000019073486	5.88679789359503E-8
-8.39999961853027	6.06487375875986E-8
-8.5	6.32937258160382E-8
-8.60000038146973	6.38510400108316E-8
-8.69999980926514	6.41257429379039E-8
-8.80000019073486	6.00632930058964E-8
-8.89999961853027	8.6287961664766E-8
-9	9.5809404854208E-8
-9.10000038146973	1.00356835730508E-7
-9.19999980926514	9.86785764212073E-8
-9.30000019073486	1.02580337113523E-7
-9.39999961853027	1.07104682456338E-7
-9.5	1.01499232130209E-7
-9.60000038146973	1.03494961933848E-7
-9.69999980926514	1.07248133929261E-7
-9.80000019073486	1.10585474999425E-7
-9.89999961853027	1.10936198893796E-7
-10	1.22755693610088E-7
-10.1000003814697	1.2730828302665E-7
-10.1999998092651	1.35450022753503E-7
-10.3000001907349	1.39247617880756E-7
-10.3999996185303	1.43787872275425E-7
-10.5	1.52072985315499E-7
-10.6000003814697	1.62930035685349E-7
-10.6999998092651	1.58934014393708E-7
-10.8000001907349	1.64413236802829E-7
-10.8999996185303	1.67775539239301E-7
-11	1.72695976630166E-7
-11.1000003814697	1.74829921206765E-7
-11.1999998092651	1.80011753059262E-7
-11.3000001907349	1.86515251243691E-7
-11.3999996185303	1.90308469427691E-7
-11.5	1.97290660253202E-7
-11.6000003814697	1.94956612631358E-7
-11.6999998092651	1.97951635527716E-7
-11.8000001907349	2.04408863169192E-7
-11.8999996185303	2.07891247328007E-7
-12	2.1550454221142E-7
-12.1000003814697	2.19107150201125E-7
-12.1999998092651	2.16143078546338E-7
-12.3000001907349	2.23764246243263E-7
-12.3999996185303	2.2750775485747E-7
-12.5	2.33620923495437E-7
-12.6000003814697	2.46962031269504E-7
-12.6999998092651	2.560846041888E-7
-12.8000001907349	2.58960852761447E-7
-12.8999996185303	2.64676174310807E-7
-13	2.71606836577121E-7
-13.1000003814697	2.76769696938572E-7
-13.1999998092651	2.67237055595615E-7
-13.3000001907349	2.70704560989543E-7
-13.3999996185303	2.76547126532023E-7
